nohup: ignoring input
[progress] wrote=10000 skipped=268 rows/sec=393.3
[progress] wrote=20000 skipped=526 rows/sec=752.1
[progress] wrote=30000 skipped=782 rows/sec=1080.7
[progress] wrote=40000 skipped=1024 rows/sec=1382.9
[progress] wrote=50000 skipped=1294 rows/sec=1662.3
[progress] wrote=60000 skipped=1561 rows/sec=1920.9
[progress] wrote=70000 skipped=1781 rows/sec=2161.7
[progress] wrote=80000 skipped=2015 rows/sec=2385.9
[progress] wrote=90000 skipped=2274 rows/sec=2594.9
[progress] wrote=100000 skipped=2520 rows/sec=2790.6
[progress] wrote=110000 skipped=2806 rows/sec=2973.8
[progress] wrote=120000 skipped=3068 rows/sec=3146.1
[progress] wrote=130000 skipped=3312 rows/sec=3307.9
[progress] wrote=140000 skipped=3592 rows/sec=3460.4
[progress] wrote=150000 skipped=3872 rows/sec=3604.4
[progress] wrote=160000 skipped=4127 rows/sec=2953.1
[progress] wrote=170000 skipped=4378 rows/sec=3071.9
[progress] wrote=180000 skipped=4612 rows/sec=3185.4
[progress] wrote=190000 skipped=4881 rows/sec=3294.8
[progress] wrote=200000 skipped=5149 rows/sec=3399.8
[progress] wrote=210000 skipped=5415 rows/sec=3500.7
[progress] wrote=220000 skipped=5680 rows/sec=3597.6
[progress] wrote=230000 skipped=5942 rows/sec=3690.7
[progress] wrote=240000 skipped=6193 rows/sec=3780.9
[progress] wrote=250000 skipped=6456 rows/sec=3867.6
[progress] wrote=260000 skipped=6713 rows/sec=3951.3
[progress] wrote=270000 skipped=6984 rows/sec=4032.3
[progress] wrote=280000 skipped=7251 rows/sec=4110.4
[progress] wrote=290000 skipped=7494 rows/sec=4186.1
[progress] wrote=300000 skipped=7738 rows/sec=4259.1
[progress] wrote=310000 skipped=7974 rows/sec=3507.0
[progress] wrote=320000 skipped=8247 rows/sec=3571.4
[progress] wrote=330000 skipped=8494 rows/sec=3635.8
[progress] wrote=340000 skipped=8772 rows/sec=3698.3
[progress] wrote=350000 skipped=9033 rows/sec=3759.5
