nohup: ignoring input
[progress] wrote=1100000 skipped=28186 rows/sec=3485.3
[progress] wrote=1110000 skipped=28461 rows/sec=3503.7
[progress] wrote=1120000 skipped=28741 rows/sec=3522.0
[progress] wrote=1130000 skipped=28979 rows/sec=3540.2
[progress] wrote=1140000 skipped=29231 rows/sec=3558.2
[progress] wrote=1150000 skipped=29480 rows/sec=3576.2
[progress] wrote=1160000 skipped=29741 rows/sec=3594.0
[progress] wrote=1170000 skipped=30000 rows/sec=3611.6
[progress] wrote=1180000 skipped=30244 rows/sec=3628.9
[progress] wrote=1190000 skipped=30525 rows/sec=3646.0
[progress] wrote=1200000 skipped=30786 rows/sec=3663.0
[progress] wrote=1210000 skipped=31041 rows/sec=3679.8
[progress] wrote=1220000 skipped=31304 rows/sec=3462.6
[progress] wrote=1230000 skipped=31565 rows/sec=3479.1
[progress] wrote=1240000 skipped=31844 rows/sec=3495.4
[progress] wrote=1250000 skipped=32074 rows/sec=3511.6
[progress] wrote=1260000 skipped=32351 rows/sec=3527.8
[progress] wrote=1270000 skipped=32610 rows/sec=3544.2
[progress] wrote=1280000 skipped=32845 rows/sec=3560.4
[progress] wrote=1290000 skipped=33128 rows/sec=3576.6
[progress] wrote=1300000 skipped=33387 rows/sec=3592.6
[progress] wrote=1310000 skipped=33637 rows/sec=3608.5
[progress] wrote=1320000 skipped=33884 rows/sec=3624.4
[progress] wrote=1330000 skipped=34165 rows/sec=3640.1
[progress] wrote=1340000 skipped=34403 rows/sec=3655.8
[progress] wrote=1350000 skipped=34633 rows/sec=3671.2
[progress] wrote=1360000 skipped=34904 rows/sec=3686.6
[progress] wrote=1370000 skipped=35151 rows/sec=3339.9
[progress] wrote=1380000 skipped=35397 rows/sec=3354.6
[progress] wrote=1390000 skipped=35606 rows/sec=3369.2
[progress] wrote=1400000 skipped=35886 rows/sec=3383.8
[progress] wrote=1410000 skipped=36137 rows/sec=3398.3
[progress] wrote=1420000 skipped=36395 rows/sec=3412.6
[progress] wrote=1430000 skipped=36677 rows/sec=3426.9
[progress] wrote=1440000 skipped=36940 rows/sec=3441.1
[progress] wrote=1450000 skipped=37188 rows/sec=3455.3
[progress] wrote=1460000 skipped=37409 rows/sec=3469.4
[progress] wrote=1470000 skipped=37673 rows/sec=3483.5
[progress] wrote=1480000 skipped=37931 rows/sec=3497.3
[progress] wrote=1490000 skipped=38191 rows/sec=3511.2
[progress] wrote=1500000 skipped=38463 rows/sec=3524.9
[progress] wrote=1510000 skipped=38718 rows/sec=3538.6
[progress] wrote=1520000 skipped=38994 rows/sec=3294.1
[progress] wrote=1530000 skipped=39234 rows/sec=3307.3
